ASN-source,ASN,Name,Type,Bandwidth,Gb/s,Connectivity Type
AS4652,AS45265,CSL-IX,NIX,50,Gbps,IPv6 Dual Stack
AS4652,AS38081,TIG-IX,NIX,10,Gbps,IPv4
AS4652,AS45667,TCCT-IX,NIX,1,Gbps,IPv6 Dual Stack
AS4652,AS45642,Jastel-IX,NIX,20,Gbps,IPv4
AS4652,AS45458,AWN-IX,NIX,30,Gbps,IPv4
AS4652,AS132280,Symphony-ISP,ISP-Local,10,Gbps,IPv6 Dual Stack
AS4652,AS9931,CAT-ISP,ISP-Local,450,Gbps,IPv6 Dual Stack
AS4652,AS4618,INET,ISP-Local,31,Gbps,IPv4
AS4652,AS4765,Pacific Internet,ISP-Local,11,Gbps,IPv4
AS4652,AS7616,Ji-NET,ISP-Local,1,Gbps,IPv4
AS4652,AS4741,SAMART Infonet,ISP-Local,3,Gbps,IPv6 Dual Stack
AS4652,AS45758,Triple T Internet/ Triple T Broadband,ISP-Local,70,Gbps,IPv6 Dual Stack
AS4652,AS24187,KIRZ,ISP-Local,10,Gbps,IPv4
AS4652,AS23932,OTARO,ISP-Local,10,Gbps,IPv4
AS4652,AS7654,ISSP,ISP-Local,10,Gbps,IPv4
AS4652,AS24299,ISSP,ISP-Local,10,Gbps,IPv4
AS4652,AS23884,PROEN Internet,ISP-Local,202,Gbps,IPv4
AS4652,AS7470,True Internet Corporation,ISP-Local,100,Gbps,IPv4
AS4652,AS4637,Telstra,ISP-Local,1,Gbps,IPv4
AS4652,AS7693,KSC,ISP-Local,2,Gbps,IPv6 Dual Stack
AS4652,AS23969,TOT ISP,ISP-Local,40,Gbps,IPv6 Dual Stack
AS4652,AS38794,UIH/ BEENET,ISP-Local,50,Gbps,IPv6 Dual Stack
AS4652,AS38888,MILCOM,ISP-Local,0.1,Gbps,IPv4
AS4652,AS45142,Loxley,ISP-Local,0.25,Gbps,IPv4
AS4652,AS45328,NIPA.CLOUD,ISP-Local,20,Gbps,IPv6 Dual Stack
AS4652,AS45606,101 Global,ISP-Local,1,Gbps,IPv4
AS4652,AS38566,NTT (TH),ISP-Local,1,Gbps,IPv6 Dual Stack
AS4652,AS131293,TOT LLI,ISP-Local,3,Gbps,IPv4
AS4652,AS131090,CAT ON Net,ISP-Local,100,Gbps,IPv4
AS4652,AS45413,ServeNET,ISP-Local,2,Gbps,IPv4
AS4652,AS5639,SIAMDATA,ISP-Local,30,Gbps,IPv4
AS4652,AS17887,TCCT-ISP,ISP-Local,1,Gbps,IPv6 Dual Stack
AS4652,AS59238,INOX,ISP-Local,10,Gbps,IPv4
AS4652,AS4621,UniNet,ISP-Govt,40,Gbps,IPv4
AS4652,AS38328,ICT MOF,ISP-Govt,0.8,Gbps,IPv4
AS4652,AS56067,Metrabyte,ISP-Local,10,Gbps,IPv4
AS4652,AS134509,1-TO-ALL,ISP-Local,1,Gbps,IPv4
AS45265,AS45642,JasTel-IX,NIX,40,Gbps,IPv6 Dual Stack
AS45265,AS45458,AWN-IX (SBN),NIX,140,Gbps,IPv6 Dual Stack
AS45265,AS38081,TIG-IX (TRUE),NIX,160,Gbps,IPv6 Dual Stack
AS45265,AS37930,TOT-IX,NIX,20,Gbps,IPv6 Dual Stack
AS45265,AS4652,CAT-IX (Bangrak/Nonthaburi),NIX,50,Gbps,IPv6 Dual Stack
AS45265,AS45667,TCCT-IX,NIX,10,Gbps,IPv6 Dual Stack
AS45265,AS45788,BB Connect-IX (UIH/BEENET),NIX,1,Gbps,IPv4
AS45265,AS63529,BKNIX,NIX,10,Gbps,Peering/ IPv6 Native
AS45265,AS133543,DTAC-IX,NIX,40,Gbps,IPv6 Dual Stack
AS45265,AS4750,CS Loxinfo,ISP-Local,130,Gbps,IPv6 Dual Stack
AS45265,AS45758,Triple T Internet,ISP-Local,80,Gbps,IPv6 Dual Stack
AS45265,AS23969,TOT-ISP,ISP-Local,100,Gbps,IPv6 Dual Stack
AS45642,AS45265,CSL-IX,NIX,40,Gbps,IPv6 Dual Stack
AS45642,AS37930,TOT-IX,NIX,20,Gbps,IPv4
AS45642,AS45667,TCCT-IX,NIX,0.155,Gbps,IPv4
AS45642,AS38081,TIG-IX (TRUE),NIX,160,Gbps,IPv4
AS45642,AS4652,CAT-IX (Bangrak/Nonthaburi),NIX,20,Gbps,IPv4
AS45642,AS133543,DTAC-IX,NIX,5,Gbps,IPv4
AS45642,AS45458,AWN-IX,NIX,10,Gbps,IPv6 Dual Stack
AS45642,AS45758,Triple T Internet/ Triple T Broadband,ISP-Local,330,Gbps,IPv6 Dual Stack
AS45642,AS7616,Ji-NET,ISP-Local,20,Gbps,IPv4
AS45642,AS45455,2S1N,ISP-Local,2,Gbps,IPv4
AS45642,AS4618,INET,ISP-Local,40,Gbps,IPv4
AS45642,AS23969,TOT ISP,ISP-Local,20,Gbps,IPv4
AS45642,AS23884,PROEN,ISP-Local,180,Gbps,IPv4
AS45642,AS45328,NIPA.CLOUD,ISP-Local,20,Gbps,IPv6 Dual Stack
AS45642,AS55403,PTT ICT,ISP-Local,1.5,Gbps,IPv6 Dual Stack
AS45642,AS4741,SAMART Infonet,ISP-Local,1,Gbps,IPv6 Dual Stack
AS45642,AS38566,NTT (TH),ISP-Local,10,Gbps,IPv4
AS45458,AS45265,CSL-IX,NIX,140,Gbps,IPv6 Dual Stack
AS45458,AS38081,TIG-IX (TRUE),NIX,80,Gbps,IPv6 Dual Stack
AS45458,AS4652,CAT-IX (Bangrak/Nonthaburi),NIX,30,Gbps,IPv6 Dual Stack
AS45458,AS133543,DTAC-IX,NIX,10,Gbps,IPv4
AS45458,AS45642,JasTel-IX,NIX,10,Gbps,IPv6 Dual Stack
AS45458,AS37930,TOT-IX,ISP-Local,10,Gbps,IPv6 Dual Stack
AS45458,AS45667,TCCT-IX,ISP-Local,10,Gbps,IPv6 Dual Stack
AS45458,AS45758,Triple T Internet/ Triple T Broadband,ISP-Local,130,Gbps,IPv6 Dual Stack
AS45458,AS45458,AWN-ISP (SBN),ISP-Local,408,Gbps,IPv6 Dual Stack
AS45458,AS4618,INET,ISP-Local,20,Gbps,IPv4
AS45458,AS23884,PROEN Internet,ISP-Local,130,Gbps,IPv4
AS45458,AS45328,NIPA.CLOUD,ISP-Local,20,Gbps,IPv6 Dual Stack
AS45458,AS55403,PTT ICT,ISP-Local,1.5,Gbps,IPv6 Dual Stack
AS45458,AS23932,OTARO,ISP-Local,10,Gbps,IPv6 Dual Stack
AS45458,AS23969,TOT-ISP,ISP-Local,100,Gbps,IPv6 Dual Stack
AS132880,AS133543,DTAC-IX,NIX,11,Gbps,IPv6 Dual Stack
AS132880,AS38081,TIG-IX (TRUE),NIX,10,Gbps,IPv6 Dual Stack
AS132880,AS132280,Symphony-ISP,ISP-Local,40,Gbps,IPv6 Dual Stack
AS132880,AS45458,AWN-ISP (SBN),ISP-Local,10,Gbps,IPv6 Dual Stack
AS132880,AS4776,A-Net,ISP-Local,130,Gbps,IPv6 Dual Stack
AS132880,AS23884,PROEN Internet,ISP-Local,5,Gbps,IPv4
AS132880,AS45142,Loxley,ISP-Local,400,Gbps,IPv4
AS132880,AS4621,UniNet,Gov.,10,Gbps,IPv6 Dual Stack
AS45667,AS37930,TOT-IX,NIX,10,Gbps,IPv6 Dual Stack
AS45667,AS4652,CAT-IX (Bangrak/ Nonthaburi),NIX,1,Gbps,IPv6 Dual Stack
AS45667,AS45642,JasTel-IX,NIX,0.155,Gbps,IPv4
AS45667,AS45265,CSL-IX,NIX,10,Gbps,IPv6 Dual Stack
AS45667,AS38081,TIG-IX (TRUE),NIX,10,Gbps,IPv6 Dual Stack
AS45667,AS133543,DTAC-IX,NIX,10,Gbps,IPv4
AS45667,AS63529,BKNIX,NIX,100,Gbps,Peering/ IPv6 Native
AS45667,AS45458,AWN-IX (SBN),NIX,10,Gbps,IPv6 Native
AS45667,AS137248,Dots Solutions,ISP-Local,5,Gbps,IPv6 Dual Stack
AS45667,AS4618,INET,ISP-Local,1,Gbps,IPv6 Dual Stack
AS45667,AS23932,OTARO,ISP-Local,270,Gbps,IPv4
AS45667,AS17887,TCCT-ISP,ISP-Local,240,Gbps,IPv6 Dual Stack
AS45667,AS23969,TOT ISP,ISP-Local,10,Gbps,IPv6 Dual Stack
AS38081,AS4652,CAT-IX (Bangrak/ Nonthaburi),NIX,10,Gbps,IPv4
AS38081,AS37930,TOT-IX,NIX,30,Gbps,IPv4
AS38081,AS45265,CSL-IX,NIX,160,Gbps,IPv6 Dual Stack
AS38081,AS45458,AWN-IX (SBN),NIX,80,Gbps,IPv6 Dual Stack
AS38081,AS45642,JasTel-IX,NIX,160,Gbps,IPv4
AS38081,AS45667,TCCT-IX,NIX,10,Gbps,IPv6 Dual Stack
AS38081,AS7693,KSC,ISP-Local,10,Gbps,IPv6 Dual Stack
AS38081,AS7470,True Internet Corporation,ISP-Local,240,Gbps,IPv6 Dual Stack
AS38081,AS38566,NTT (TH),ISP-Local,10,Gbps,IPv6 Dual Stack
AS38081,AS45328,NIPA.CLOUD,ISP-Local,20,Gbps,IPv6 Dual Stack
AS38081,AS24187,KIRZ,ISP-Local,1,Gbps,IPv6 Dual Stack
AS38081,AS23884,PROEN Internet,ISP-Local,70,Gbps,IPv6 Dual Stack
AS38081,AS7654,ISSP,ISP-Local,4,Gbps,IPv4
AS38081,AS4618,INET,ISP-Local,20,Gbps,IPv4
AS38081,AS4776,A-Net,ISP-Local,0.2,Gbps,IPv4
AS38081,AS38794,UIH /BEENET,ISP-Local,2.5,Gbps,IPv6 Dual Stack
AS38081,AS56309,Siam Data,ISP-Local,40,Gbps,IPv4
AS38081,AS132880,SYMC-IX,NIX,10,Gbps,IPv6 Dual Stack
AS37930,AS45265,CSL-IX,NIX,20,Gbps,IPv6 Dual Stack
AS37930,AS45642,JasTel-IX,NIX,20,Gbps,IPv4
AS37930,AS38081,TIG-IX,NIX,30,Gbps,IPv4
AS37930,AS45667,TCCT-IX,NIX,10,Gbps,IPv6 Dual Stack
AS37930,AS23974,MOE,ISP-Govt,50,Gbps,IPv4
AS37930,AS131293,TOT LLI,ISP-Local,20,Gbps,IPv6 Dual Stack
AS37930,AS45328,NIPA.CLOUD,ISP-Local,40,Gbps,IPv6 Dual Stack
AS37930,AS7693,KSC,ISP-Local,1,Gbps,IPv6 Dual Stack
AS37930,AS4618,INET,ISP-Local,20,Gbps,IPv6 Dual Stack
AS37930,AS23884,PROEN Internet,ISP-Local,30,Gbps,IPv4
AS37930,AS23969,TOT ISP,ISP-Local,160,Gbps,IPv6 Dual Stack
AS37930,AS23932,OTARO,ISP-Local,20,Gbps,IPv4
AS37930,AS24187,KIRZ,ISP-Local,10,Gbps,IPv4
AS37930,AS5639,SIAMDATA,ISP-Local,40,Gbps,IPv4
AS37930,AS132280,Symphony-ISP,ISP-Local,10,Gbps,IPv6 Dual Stack
AS37930,AS9931,CAT-ISP,ISP-Local,10,Gbps,IPv6 Dual Stack
AS37930,AS38794,UIH (Beenet),ISP-Local,10,Gbps,IPv6 Dual Stack
AS37930,AS135640,POP-IDC,ISP-Local,20,Gbps,IPv6 Dual Stack
AS37930,AS45458,AWN-IX (SBN),NIX,10,Gbps,IPv6 Dual Stack
AS37930,AS134166,TOT-IDC,ISP-Local,40,Gbps,IPv6 Dual Stack
AS37930,AS38450,GIN,ISP-Govt,1,Gbps,IPv6 Dual Stack
AS133543,AS45265,CSL-IX,NIX,40,Gbps,IPv6 Dual Stack
AS133543,AS45642,JasTel-IX,NIX,5,Gbps,IPv4
AS133543,AS132280,SYMC-IX (Symphony),NIX,1,Gbps,IPv6 Dual Stack
AS133543,AS45458,AWN-IX (SBN),NIX,10,Gbps,IPv4
AS133543,AS63529,BKNIX,NIX,20,Gbps,Peering/ IPv6 Native
AS133543,AS45667,TCCT-IX,NIX,10,Gbps,IPv4
AS133543,AS9587,Dtac Trinet,ISP-Local,160,Gbps,IPv4
AS133543,AS4618,INET,ISP-Local,20,Gbps,IPv4
AS63529,AS45796,BB Connect,IIG,10,Gbps,Peering/ IPv6 Native
AS63529,AS45667,TCCT-IX,NIX,100,Gbps,Peering/ IPv6 Native
AS63529,AS133543,DTAC-IX,NIX,20,Gbps,Peering/ IPv6 Native
AS63529,AS45265,CSL-IX,NIX,10,Gbps,Peering/ IPv6 Native
AS63529,AS45758,Triple T Internet/ Triple T Broadband,ISP-Local,20,Gbps,Peering/ IPv6 Native
AS63529,AS4618,INET,ISP-Local,20,Gbps,Peering/ IPv6 Native
AS63529,AS24187,KIRZ,ISP-Local,10,Gbps,Peering/ IPv6 Native
AS63529,AS38566,NTT (TH),ISP-Local,1,Gbps,Peering/ IPv6 Native
AS63529,AS4621,UniNet,ISP-Govt,20,Gbps,Peering/ IPv6 Native
AS63529,AS9835,EGA,ISP-Govt,1,Gbps,Peering/ IPv6 Native
AS63529,AS7470,True Internet Corporation,ISP-Local,10,Gbps,Peering/ IPv6 Native
AS63529,AS38794,UIH (BeeNet),ISP-Local,10,Gbps,Peering/ IPv6 Native
AS63529,AS4767,AIT,ISP-Govt,1,Gbps,Peering/ IPv6 Native
AS63529,AS59238,INOX,ISP-Local,20,Gbps,Peering/ IPv6 Native